Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,"COVID-19 deaths per 100,000 population in 2020",Median age,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,Index of institutional trust,Gini coefficient of income
Cyprus,Western Europe,6.223,10.575999999999999,0.802,73.898,0.763,-0.015,0.8440000000000001,13.585999999999999,37.3,1.9080000000000001,8.968,0.174,29.1
Estonia,Central and Eastern Europe,6.189,10.481,0.941,68.8,0.909,-0.106,0.527,17.262999999999998,42.7,2.365,8.93,0.27,30.6
Panama,Latin America and Caribbean,6.18,10.35,0.8959999999999999,69.652,0.872,-0.166,0.856,93.215,29.7,0.91,9.568,0.182,49.8
Uzbekistan,Commonwealth of Independent States,6.178999999999999,8.836,0.9179999999999999,65.255,0.97,0.311,0.515,1.834,28.2,1.141,8.62,0.435,39.7
Chile,Latin America and Caribbean,6.172000000000001,10.071,0.882,70.0,0.742,-0.044000000000000004,0.83,86.87899999999999,35.4,0.562,9.722000000000001,0.09699999999999999,45.92
Poland,Central and Eastern Europe,6.166,10.382,0.898,69.702,0.841,-0.165,0.735,75.447,41.8,3.199,8.978,0.304,27.8
Kazakhstan,Commonwealth of Independent States,6.152,10.155,0.9520000000000001,65.2,0.853,-0.069,0.733,14.704,30.6,1.137,8.621,0.35200000000000004,27.45
Romania,Central and Eastern Europe,6.14,10.284,0.8320000000000001,67.355,0.845,-0.21899999999999997,0.938,81.959,43.0,2.517,8.981,0.1,35.1
Kuwait,Middle East and North Africa,6.106,10.817,0.843,66.9,0.867,-0.10400000000000001,0.736,21.871,33.7,1.4969999999999999,8.865,0.38799999999999996,36.02
Serbia,Central and Eastern Europe,6.077999999999999,9.787,0.873,68.6,0.778,0.002,0.835,47.18899999999999,41.2,3.134,9.015,0.221,37.8
El Salvador,Latin America and Caribbean,6.061,9.054,0.762,66.402,0.888,-0.11,0.688,20.459,27.6,0.863,9.508,0.239,40.5
Mauritius,Sub-Saharan Africa,6.0489999999999995,10.008,0.905,66.70100000000001,0.867,-0.054000000000000006,0.789,0.7859999999999999,37.4,0.624,9.084,0.41100000000000003,38.47
Latvia,Central and Eastern Europe,6.032,10.315,0.927,67.1,0.715,-0.162,0.8,33.666,43.9,2.49,8.943,0.096,35.6
Colombia,Latin America and Caribbean,6.0120000000000005,9.557,0.847,68.001,0.8370000000000001,-0.135,0.841,84.926,32.2,0.8140000000000001,9.606,0.113,52.0
Hungary,Central and Eastern Europe,5.992000000000001,10.357999999999999,0.943,68.0,0.755,-0.18600000000000003,0.8759999999999999,98.723,43.4,3.555,9.011000000000001,0.253,28.7
Thailand,Southeast Asia,5.985,9.805,0.888,67.40100000000001,0.884,0.287,0.895,0.09,40.1,0.7509999999999999,8.27,0.354,35.315
Nicaragua,Latin America and Caribbean,5.972,8.62,0.8640000000000001,67.657,0.836,0.02,0.664,2.491,27.3,0.86,9.527999999999999,0.28,46.515
Japan,East Asia,5.94,10.610999999999999,0.884,75.1,0.7959999999999999,-0.258,0.638,2.603,48.2,0.863,8.39,0.317,33.9
Argentina,Latin America and Caribbean,5.928999999999999,9.962,0.898,69.0,0.828,-0.182,0.8340000000000001,95.684,31.9,0.5489999999999999,9.717,0.091,39.6
Portugal,Western Europe,5.928999999999999,10.421,0.879,72.6,0.892,-0.244,0.887,67.72800000000001,46.2,3.2239999999999998,9.207,0.248,32.1
Honduras,Latin America and Caribbean,5.919,8.648,0.812,67.3,0.857,0.081,0.809,31.601999999999997,24.9,0.887,9.511000000000001,0.209,48.1
Croatia,Central and Eastern Europe,5.882000000000001,10.217,0.924,70.79899999999999,0.754,-0.11800000000000001,0.9390000000000001,95.48700000000001,44.0,4.0569999999999995,9.037,0.131,29.7
Philippines,Southeast Asia,5.88,9.076,0.83,62.0,0.917,-0.09699999999999999,0.742,8.436,25.2,0.74,8.226,0.52,42.23
South Korea,East Asia,5.845,10.651,0.799,73.9,0.672,-0.083,0.727,1.7890000000000001,43.4,1.607,8.228,0.11199999999999999,35.5
Peru,Latin America and Caribbean,5.84,9.458,0.8320000000000001,68.25,0.8220000000000001,-0.154,0.8909999999999999,114.279,29.1,0.636,9.69,0.096,43.9
Bosnia and Herzegovina,Central and Eastern Europe,5.813,9.59,0.87,68.098,0.706,0.113,0.9309999999999999,123.445,42.5,3.509,9.032,0.064,33.03
Moldova,Commonwealth of Independent States,5.766,9.454,0.857,65.699,0.8220000000000001,-0.079,0.9179999999999999,73.997,37.6,2.3480000000000003,8.952,0.10400000000000001,25.9
Ecuador,Latin America and Caribbean,5.763999999999999,9.312999999999999,0.821,68.8,0.8420000000000001,-0.124,0.843,79.544,28.1,0.789,9.634,0.205,45.4
Kyrgyzstan,Commonwealth of Independent States,5.744,8.538,0.893,64.40100000000001,0.935,0.11900000000000001,0.9079999999999999,20.769000000000002,26.3,1.08,8.566,0.18600000000000003,27.34
Greece,Western Europe,5.723,10.279000000000002,0.823,72.6,0.5820000000000001,-0.28800000000000003,0.823,46.416000000000004,45.3,2.327,9.026,0.124,32.3
Bolivia,Latin America and Caribbean,5.716,9.046,0.81,63.901,0.875,-0.077,0.8390000000000001,78.514,25.4,0.609,9.726,0.10099999999999999,43.8
Mongolia,East Asia,5.6770000000000005,9.4,0.935,62.5,0.708,0.11599999999999999,0.856,0.031,28.6,1.14,8.326,0.102,32.35
Paraguay,Latin America and Caribbean,5.653,9.448,0.893,65.9,0.8759999999999999,0.027999999999999997,0.882,31.714000000000002,26.5,0.591,9.726,0.138,47.4
Montenegro,Central and Eastern Europe,5.581,9.94,0.858,68.699,0.708,-0.034,0.812,108.588,39.1,3.134,9.015,0.21600000000000003,31.93
Dominican Republic,Latin America and Caribbean,5.545,9.802,0.853,66.102,0.86,-0.133,0.7140000000000001,22.253,27.6,1.13,9.503,0.19899999999999998,44.4
Belarus,Commonwealth of Independent States,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,15.07,40.3,2.377,8.935,0.242,25.44
Russia,Commonwealth of Independent States,5.477,10.189,0.903,64.703,0.718,-0.111,0.845,38.559,39.6,1.771,8.869,0.196,34.56
Hong Kong S.A.R. of China,East Asia,5.477,11.0,0.836,76.82,0.7170000000000001,0.067,0.40299999999999997,1.974,44.8,1.179,8.044,0.318,48.275
Tajikistan,Commonwealth of Independent States,5.466,8.091000000000001,0.86,64.281,0.8320000000000001,-0.055999999999999994,0.5529999999999999,0.9440000000000001,23.3,1.135,8.624,0.5539999999999999,34.0
Vietnam,Southeast Asia,5.4110000000000005,8.972999999999999,0.85,68.03399999999999,0.94,-0.098,0.7959999999999999,0.036000000000000004,32.6,0.807,8.107999999999999,0.49,40.1
Libya,Middle East and North Africa,5.41,9.622,0.8270000000000001,62.3,0.7709999999999999,-0.087,0.667,21.51,29.0,2.194,9.122,0.311,30.2
Malaysia,Southeast Asia,5.3839999999999995,10.238,0.8170000000000001,67.102,0.895,0.125,0.8390000000000001,1.455,29.9,0.7140000000000001,8.415,0.44299999999999995,41.04
Indonesia,Southeast Asia,5.345,9.365,0.8109999999999999,62.236000000000004,0.873,0.542,0.867,8.094,29.3,0.5760000000000001,8.578,0.561,37.478
Congo (Brazzaville),Sub-Saharan Africa,5.3420000000000005,8.117,0.636,58.221000000000004,0.695,-0.068,0.745,1.9569999999999999,19.0,0.853,9.287,0.23800000000000002,48.94
China,East Asia,5.3389999999999995,9.673,0.8109999999999999,69.593,0.904,-0.146,0.755,0.332,38.7,1.097,8.213,0.516,46.7
Ivory Coast,Sub-Saharan Africa,5.306,8.551,0.644,50.114,0.741,-0.016,0.794,0.519,18.7,0.9640000000000001,9.365,0.285,48.593999999999994
Armenia,Commonwealth of Independent States,5.2829999999999995,9.487,0.799,67.055,0.825,-0.168,0.629,95.26799999999999,35.7,1.7619999999999998,8.857999999999999,0.174,33.62
Nepal,South Asia,5.269,8.12,0.774,64.233,0.782,0.152,0.727,6.37,25.0,0.877,8.418,0.392,32.84
Bulgaria,Central and Eastern Europe,5.266,10.016,0.9309999999999999,67.0,0.7879999999999999,-0.096,0.932,109.03200000000001,44.7,2.6919999999999997,9.007,0.073,39.6
